Date;Shocks_FED;INFO_Shocks_FED
2018-11-08;-0.00350011;0.0076672
2018-12-19;0.06726481;-0.04407128
2019-01-30;-0.05823863;0.03329412
2019-03-20;-0.04631341;0.01353779
2019-05-01;-0.03570942;-0.01148932
2019-06-19;-0.04819454;-0.02008167
2019-07-31;0.0321365;0.01587817
2019-09-18;0.03783711;-0.00635194
2019-10-11;-0.01281176;0.01080036
2019-10-30;-0.00203778;0.01565653
2019-12-11;-0.01172623;0.0081055
2020-01-29;0.00277641;0.00612034
2020-03-03;-0.12101387;-0.04390602
2020-04-29;0.00405068;-0.01827923
2020-06-10;-0.03618637;0.03390716
2020-07-29;-0.0061501;0.0020033
2020-09-16;-0.02449582;0.02354933
2020-11-05;-0.00257011;0.00146343
2020-12-16;0.00973279;-0.0094732
2021-01-27;0.0210899;-0.01930692
2021-03-17;-0.03571443;0.02755048
2021-04-28;-0.00565549;0.00115184
2021-06-16;0.04056258;-0.01796146
2021-07-28;-0.00977912;0.01199248
2021-09-22;-0.02207027;0.02207027
2021-11-03;-0.01084204;0.01680361
2021-12-15;-0.01892616;0.05444743
2022-01-26;0.00874257;-0.0167006
2022-03-16;0.09337312;0.00493944
2022-05-04;-0.00708619;-0.0247876
2022-06-15;0.04562897;0.03077943
2022-07-27;-0.00587286;0.00013722
2022-09-21;0.12578561;-0.03414209
2022-11-02;-0.07990243;0.00337991
2022-12-14;0.11144638;-0.0239868
2023-02-01;-0.00294462;0.01331488
2023-03-22;-0.03080003;0.00292668
2023-05-03;0.00227003;0.0162348
2023-06-14;0.06760967;-0.01510254
2023-07-26;-0.00328235;0.0072545
2023-09-20;0.03574754;0.01557634
2023-11-01;-0.00769011;-0.00620089
2023-12-13;-0.06499937;0.0133351
2024-01-31;0.02877122;-0.00741819
