Ticker;Industry
MSC;Resorts & Casinos
SBH;Specialty Retail
CNNE;Restaurants
OXM;Apparel Manufacturing
XPEL;Auto Parts
CARS;Auto & Truck Dealerships
KRUS;Restaurants
PLYA;Resorts & Casinos
EVRI;Gambling
FWRG;Restaurants
LVWR;Auto Manufacturers
CBRL;Restaurants
GEAR;Leisure
BLMN;Restaurants
TRS;Packaging & Containers
HEPS;Internet Retail
HOV;Residential Construction
REAL;Luxury Goods
ACEL;Gambling
SDA;Auto & Truck Dealerships
BZH;Residential Construction
CAL;Apparel Retail
JACK;Restaurants
SCVL;Apparel Retail
EYE;Specialty Retail
GOOS;Apparel Manufacturing
GDEN;Resorts & Casinos
SHCO;Lodging
FIGS;Apparel Manufacturing
UXIN;Auto & Truck Dealerships
MBUU;Recreational Vehicles
GES;Apparel Retail
MLR;Auto Parts
ODP;Specialty Retail
ARKO;Specialty Retail
MNRO;Auto Parts
BJRI;Restaurants
AXL;Auto Parts
RERE;Internet Retail
ETD;Furnishings, Fixtures & Appliances
PTLO;Restaurants
XPOF;Leisure
LQDT;Internet Retail
SMP;Auto Parts
HZO;Specialty Retail
BALY;Resorts & Casinos
BH;Restaurants
LIND;Travel Services
DOGZ;Leisure
ECX;Auto Parts
PACK;Packaging & Containers
JMIA;Internet Retail
KRT;Packaging & Containers
EXTO;Department Stores
FNKO;Leisure
CHPT;Specialty Retail
LEGH;Residential Construction
FTEL;Specialty Retail
CSV;Personal Services
PLOW;Auto Parts
SFIX;Apparel Retail
ZKH;Internet Retail
LOVE;Furnishings, Fixtures & Appliances
HYLN;Auto Parts
MYTE;Luxury Goods
BBW;Specialty Retail
FLWS;Specialty Retail
LESL;Specialty Retail
CANG;Auto & Truck Dealerships
DIN;Restaurants
LE;Apparel Retail
RICK;Restaurants
CRMT;Auto & Truck Dealerships
AGS;Gambling
MOV;Luxury Goods
GCO;Apparel Retail
MYE;Packaging & Containers
SNBR;Furnishings, Fixtures & Appliances
GAMB;Gambling
BARK;Specialty Retail
DADA;Internet Retail
JILL;Apparel Retail
ZUMZ;Apparel Retail
CURV;Apparel Retail
COOK;Furnishings, Fixtures & Appliances
HVT;Home Improvement Retail
HVT.A;Home Improvement Retail
LOCO;Restaurants
CYD;Auto Manufacturers
NATH;Restaurants
CDRO;Gambling
JOUT;Leisure
MCFT;Recreational Vehicles
MPX;Recreational Vehicles
HLLY;Auto Parts
ONEW;Specialty Retail
DBI;Footwear & Accessories
NWTN;Auto Manufacturers
WEYS;Footwear & Accessories
DENN;Restaurants
CVEO;Lodging
FLXS;Furnishings, Fixtures & Appliances
BNED;Specialty Retail
TTSH;Home Improvement Retail
JAKK;Leisure
PBPB;Restaurants
BYON;Internet Retail
IRBT;Furnishings, Fixtures & Appliances
GHG;Lodging
CPS;Auto Parts
SGC;Apparel Manufacturing
GENK;Restaurants
LAZR;Auto Parts
HBB;Furnishings, Fixtures & Appliances
INSE;Gambling
NEGG;Internet Retail
RMBL;Auto & Truck Dealerships
UHG;Residential Construction
KFS;Auto & Truck Dealerships
MED;Personal Services
ESCA;Leisure
SLDP;Auto Parts
VIRC;Furnishings, Fixtures & Appliances
AKA;Apparel Retail
LOGC;Internet Retail
LANV;Luxury Goods
CTRN;Apparel Retail
CHSN;Restaurants
TDUP;Internet Retail
EM;Personal Services
CLAR;Leisure
BRLT;Luxury Goods
AOUT;Leisure
SRI;Auto Parts
GGR;Auto Manufacturers
HOFT;Furnishings, Fixtures & Appliances
ELA;Luxury Goods
BZUN;Internet Retail
QRTEB;Internet Retail
SES;Auto Parts
RCKY;Footwear & Accessories
PLCE;Apparel Manufacturing
STRT;Auto Parts
FLL;Resorts & Casinos
LAKE;Apparel Manufacturing
VRA;Footwear & Accessories
MPAA;Auto Parts
NIU;Auto Manufacturers
REE;Auto Parts
PLBY;Leisure
LCUT;Furnishings, Fixtures & Appliances
QRTEA;Internet Retail
DXLG;Apparel Retail
DIBS;Internet Retail
TOUR;Travel Services
CAAS;Auto Parts
BSET;Furnishings, Fixtures & Appliances
THCH;Restaurants
AZI;Auto & Truck Dealerships
CNTY;Resorts & Casinos
TLYS;Apparel Retail
KEQU;Furnishings, Fixtures & Appliances
MAMO;Recreational Vehicles
BRIA;Textile Manufacturing
DLTH;Apparel Retail
INVZ;Auto Parts
WW;Personal Services
GRWG;Specialty Retail
DTC;Internet Retail
FOSL;Footwear & Accessories
PRPL;Furnishings, Fixtures & Appliances
VIOT;Furnishings, Fixtures & Appliances
CPHC;Gambling
STKS;Restaurants
UFI;Textile Manufacturing
VCSA;Travel Services
RRGB;Restaurants
FAT;Restaurants
KNDI;Auto Parts
FATBB;Restaurants
RECT;Specialty Retail
SPWH;Specialty Retail
GAN;Gambling
YTRA;Travel Services
CVGI;Auto Parts
BRAG;Gambling
WPRT;Auto Parts
SUP;Auto Parts
CATO;Apparel Retail
YYGH;Personal Services
BIRD;Apparel Retail
CULP;Textile Manufacturing
HTLM;Furnishings, Fixtures & Appliances
GORV;Auto & Truck Dealerships
FFIE;Auto Manufacturers
PRTS;Auto Parts
ROLR;Gambling
RGS;Personal Services
NHTC;Internet Retail
NTZ;Furnishings, Fixtures & Appliances
HOUR;Internet Retail
ARKR;Restaurants
LVLU;Apparel Retail
CRWS;Furnishings, Fixtures & Appliances
WKHS;Auto Manufacturers
RAVE;Restaurants
BDL;Restaurants
SOND;Lodging
JRSH;Apparel Manufacturing
TLF;Specialty Retail
BGFV;Specialty Retail
WNW;Internet Retail
RENT;Apparel Retail
CENN;Auto Manufacturers
ISPO;Travel Services
SYPR;Auto Parts
ZOOZ;Specialty Retail
ECDA;Auto Manufacturers
LITB;Internet Retail
NAAS;Specialty Retail
NDLS;Restaurants
PNST;Restaurants
INTG;Lodging
SAG;Auto Parts
BGI;Luxury Goods
WKSP;Auto Parts
GTIM;Restaurants
LIVE;Home Improvement Retail
OESX;Furnishings, Fixtures & Appliances
HWH;Leisure
IPW;Internet Retail
KIRK;Home Improvement Retail
OCG;Internet Retail
EVTV;Auto Manufacturers
VNCE;Apparel Manufacturing
GOEV;Auto Manufacturers
UCAR;Auto & Truck Dealerships
PMNT;Apparel Manufacturing
MI;Internet Retail
MULN;Auto Manufacturers
ATER;Furnishings, Fixtures & Appliances
MOGU;Internet Retail
MMA;Leisure
MGIH;Packaging & Containers
LOBO;Auto Manufacturers
TKLF;Specialty Retail
YHGJ;Packaging & Containers
SVMH;Auto Manufacturers
AIEV;Auto Manufacturers
MRM;Personal Services
XELB;Apparel Manufacturing
HYZN;Auto Parts
PC;Restaurants
JBDI;Specialty Retail
PEV;Auto Manufacturers
PETZ;Restaurants
JZXN;Auto & Truck Dealerships
NCI;Apparel Manufacturing
FRSX;Auto Parts
CJET;Auto Manufacturers
WBUY;Internet Retail
FLYE;Auto Manufacturers
SRM;Leisure
BTBD;Restaurants
NCL;Furnishings, Fixtures & Appliances
JL;Apparel Manufacturing
TCS;Specialty Retail
CTNT;Auto & Truck Dealerships
YJ;Internet Retail
FGI;Furnishings, Fixtures & Appliances
DSS;Packaging & Containers
GDHG;Leisure
JXJT;Apparel Manufacturing
EFOI;Furnishings, Fixtures & Appliances
VEEE;Recreational Vehicles
ZAPP;Auto Manufacturers
EJH;Personal Services
JWEL;Internet Retail
IVP;Personal Services
KXIN;Auto & Truck Dealerships
NTRP;Travel Services
YOSH;Restaurants
CREV;Auto Parts
PIK;Internet Retail
AYRO;Auto Manufacturers
LGCB;Internet Retail
FORD;Footwear & Accessories
OCTO;Packaging & Containers
REBN;Restaurants
DBGI;Apparel Retail
CTHR;Luxury Goods
NVFY;Furnishings, Fixtures & Appliances
NVVE;Specialty Retail
LTRY;Gambling
SBET;Gambling
SPGC;Leisure
VMAR;Recreational Vehicles
TRNR;Personal Services
VLCN;Auto Manufacturers
EZGO;Recreational Vehicles
AREB;Footwear & Accessories
JFBR;Internet Retail
LUXH;Lodging
BQ;Specialty Retail
WMT;Discount Stores
COST;Discount Stores
PG;Household & Personal Products
KO;Beverages - Non-Alcoholic
PEP;Beverages - Non-Alcoholic
PM;Tobacco
UL;Household & Personal Products
BUD;Beverages - Brewers
MO;Tobacco
BTI;Tobacco
MDLZ;Confectioners
CL;Household & Personal Products
DEO;Beverages - Wineries & Distilleries
TGT;Discount Stores
MNST;Beverages - Non-Alcoholic
KDP;Beverages - Non-Alcoholic
KMB;Household & Personal Products
STZ;Beverages - Brewers
KVUE;Household & Personal Products
KR;Grocery Stores
HSY;Confectioners
SYY;Food Distribution
KHC;Packaged Foods
ABEV;Beverages - Brewers
GIS;Packaged Foods
CCEP;Beverages - Non-Alcoholic
EL;Household & Personal Products
FMX;Beverages - Brewers
K;Packaged Foods
CHD;Household & Personal Products
ADM;Farm Products
TSN;Farm Products
MKC;Packaged Foods
BF.A;Beverages - Wineries & Distilleries
MKC.V;Packaged Foods
CLX;Household & Personal Products
HRL;Packaged Foods
DG;Discount Stores
KOF;Beverages - Non-Alcoholic
USFD;Food Distribution
DLTR;Discount Stores
SFM;Grocery Stores
PFGC;Food Distribution
CAG;Packaged Foods
CPB;Packaged Foods
TAP;Beverages - Brewers
BJ;Discount Stores
SJM;Packaged Foods
TAP.A;Beverages - Brewers
BG;Farm Products
PRMB;Beverages - Non-Alcoholic
PPC;Packaged Foods
COKE;Beverages - Non-Alcoholic
LW;Packaged Foods
EDU;Education & Training Services
ACI;Grocery Stores
BRBR;Packaged Foods
INGR;Packaged Foods
ELF;Household & Personal Products
BRFS;Packaged Foods
HIMS;Household & Personal Products
FRPT;Packaged Foods
CELH;Beverages - Non-Alcoholic
COTY;Household & Personal Products
POST;Packaged Foods
TAL;Education & Training Services
OLLI;Discount Stores
DAR;Packaged Foods
LANC;Packaged Foods
CALM;Farm Products
NWL;Household & Personal Products
LOPE;Education & Training Services
FLO;Packaged Foods
LRN;Education & Training Services
FIZZ;Beverages - Non-Alcoholic
IPAR;Household & Personal Products
GHC;Education & Training Services
SMPL;Packaged Foods
SAM;Beverages - Brewers
TBBB;Discount Stores
JJSF;Packaged Foods
ATGE;Education & Training Services
PSMT;Discount Stores
NOMD;Packaged Foods
LAUR;Education & Training Services
CENT;Packaged Foods
SPB;Household & Personal Products
AKO.B;Beverages - Non-Alcoholic
AKO.A;Beverages - Non-Alcoholic
RLX;Tobacco
UTZ;Packaged Foods
STRA;Education & Training Services
TR;Confectioners
CENTA;Packaged Foods
CCU;Beverages - Brewers
COCO;Beverages - Non-Alcoholic
GO;Grocery Stores
WMK;Grocery Stores
CHEF;Food Distribution
EPC;Household & Personal Products
KLG;Packaged Foods
PRDO;Education & Training Services
DNUT;Grocery Stores
THS;Packaged Foods
HELE;Household & Personal Products
NAPA;Beverages - Wineries & Distilleries
VITL;Farm Products
FDP;Farm Products
ANDE;Food Distribution
AFYA;Education & Training Services
UNFI;Food Distribution
UVV;Tobacco
DOLE;Farm Products
UTI;Education & Training Services
ASAI;Grocery Stores
IMKTA;Grocery Stores
COUR;Education & Training Services
UDMY;Education & Training Services
TPB;Tobacco
AGRO;Farm Products
MGPI;Beverages - Wineries & Distilleries
DDL;Grocery Stores
JBSS;Packaged Foods
NGVC;Grocery Stores
STKL;Beverages - Non-Alcoholic
AVO;Food Distribution
DAO;Education & Training Services
HNST;Household & Personal Products
HLF;Packaged Foods
HAIN;Packaged Foods
USNA;Packaged Foods
WEST;Packaged Foods
GOTU;Education & Training Services
SPTN;Food Distribution
BRCC;Packaged Foods
BGS;Packaged Foods
LINC;Education & Training Services
SENEA;Packaged Foods
SNDL;Beverages - Wineries & Distilleries
CDXC;Packaged Foods
SENEB;Packaged Foods
YSG;Household & Personal Products
FC;Education & Training Services
LMNR;Farm Products
CVGW;Food Distribution
VLGEA;Grocery Stores
OTLY;Packaged Foods
NUS;Household & Personal Products
ZSPC;Education & Training Services
LND;Farm Products
APEI;Education & Training Services
EWCZ;Household & Personal Products
LWAY;Packaged Foods
MAMA;Packaged Foods
ISPR;Tobacco
NATR;Packaged Foods
BYND;Packaged Foods
CHGG;Education & Training Services
AFRI;Farm Products
NAMI;Education & Training Services
ZVIA;Beverages - Non-Alcoholic
WILC;Food Distribution
ALCO;Farm Products
HFFG;Food Distribution
SKIN;Household & Personal Products
LFVN;Packaged Foods
VSTA;Education & Training Services
DSY;Household & Personal Products
ACU;Household & Personal Products
QSG;Education & Training Services
FTLF;Packaged Foods
BRLS;Packaged Foods
SKIL;Education & Training Services
MYND;Education & Training Services
LGCY;Education & Training Services
IH;Education & Training Services
DIT;Food Distribution
VFF;Farm Products
BRID;Packaged Foods
LSF;Packaged Foods
STG;Education & Training Services
COE;Education & Training Services
WYHG;Packaged Foods
ORIS;Packaged Foods
PAVS;Packaged Foods
GROV;Household & Personal Products
SHOT;Beverages - Non-Alcoholic
BEDU;Education & Training Services
CLEU;Education & Training Services
UG;Household & Personal Products
BRFH;Beverages - Non-Alcoholic
FARM;Packaged Foods
CLNN;Packaged Foods
SOWG;Packaged Foods
RAY;Household & Personal Products
AACG;Education & Training Services
NAII;Packaged Foods
FEDU;Education & Training Services
COOT;Packaged Foods
